Variable,Group1,Group2,Test,Statistic,p_value,Cohen_d,Mean_Group1,Mean_Group2,Std_Group1,Std_Group2,median_Group1,median_Group2,MAD_Group1,MAD_Group2,adj_p_value,Significant
dfv_mean_EEG T3,Control,WNV,Mann-Whitney U,1891.0,3.050242002813871e-06,-1.0866043054973649,6.256967852811863,4.092684033890948,1.8822798710704043,2.3687820374746833,6.20791564016424,3.266055045871559,0.9856090661330938,1.1384085016895815,1.2811016411818258e-05,True
dfv_std_EEG T3,Control,WNV,Mann-Whitney U,1620.0,0.0037364118338600824,-0.2846917759782723,4.405170841115692,3.80712093280364,1.8251074739894686,2.933469176123543,3.9201083030226482,2.9175807114314303,0.8135568551757322,0.9107890212555145,0.006655483579063272,True
min_EEG T4,Control,WNV,Mann-Whitney U,1662.0,0.0015057343609714208,-0.9099027397570437,-5.061177433470327e-05,-8.278155775870453e-05,2.7224569535102807e-05,5.675946360499893e-05,-4.218204133765015e-05,-5.8087293303896004e-05,1.0716700684511504e-05,2.0873594322634815e-05,0.0030809641539876766,True
max_EEG T4,Control,WNV,Mann-Whitney U,683.0,0.0013450398572526039,0.7566235352820617,4.808376906278296e-05,7.945426310110942e-05,2.9512898189557325e-05,7.074669373259764e-05,4.110809892395087e-05,5.8851797264287984e-05,1.1700794522332159e-05,2.094350419197299e-05,0.0029009238002366973,True
mean_EEG T4,Control,WNV,Mann-Whitney U,1113.0,0.6882863052036532,-0.5237483832387876,1.9378212566833764e-09,-2.2639215385046382e-08,2.508477600616673e-08,9.108419759266715e-08,6.917682718903532e-11,6.481937970137837e-09,1.2141572311217571e-08,1.3944412228729494e-08,0.7544676807040045,False
median_EEG T4,Control,WNV,Mann-Whitney U,1481.0,0.04627653155932623,-0.6710818350670124,9.807243209421927e-08,-2.1981527821697142e-08,1.1039100539280728e-07,3.2984430778867195e-07,6.824259362330463e-08,1.7904633793236643e-08,5.639546016279761e-08,1.290602900884322e-07,0.06411227809781654,False
std_EEG T4,Control,WNV,Mann-Whitney U,631.0,0.0003920131250766323,1.0467032774238165,6.938586907460057e-06,1.1066858267616122e-05,2.8898624487263488e-06,6.59338201808073e-06,6.374826391101287e-06,8.037346539333704e-06,1.3031995126634322e-06,3.002534704327509e-06,0.001009117657455331,True
psd_mean_EEG T4,Control,WNV,Mann-Whitney U,608.0,0.00021950758180146602,0.8709868077447223,1.1516631069936515e-12,2.8098233329650584e-12,1.400071102457118e-12,3.1737868024572952e-12,7.451393645095142e-13,1.3550260700544033e-12,2.744762180976613e-13,7.373228081112959e-13,0.000612472203767727,True
psd_std_EEG T4,Control,WNV,Mann-Whitney U,519.0,1.902722369256766e-05,1.0069322582200355,2.585802719949978e-12,6.9240863936124125e-12,3.6313813607053434e-12,6.276352921264924e-12,1.5145736752214202e-12,3.196865810221141e-12,6.732646265750066e-13,1.8830924857000284e-12,6.60161935072565e-05,True
fft_mean_EEG T4,Control,WNV,Mann-Whitney U,919.0,0.09557442571677294,0.6971971775524564,0.002510723879750013,0.003682076822719876,0.0010347300386661798,0.0031002931365269847,0.0022432132915719497,0.0027588568978119,0.0005448824450983998,0.0006683997467116245,0.12711398620330802,False
fft_std_EEG T4,Control,WNV,Mann-Whitney U,594.0,0.00015262164488746304,0.9648746568053329,0.003289858673293746,0.005050145735658404,0.0015927582433510963,0.0025288651735203382,0.0028793232258402498,0.003825005301338955,0.0007447355834173004,0.0008218354851763547,0.00045444803216490863,True
delta_power_EEG T4,Control,WNV,Mann-Whitney U,373.0,1.7097448388969888e-07,1.7032330792645103,9.986860537290114e-12,4.715043170072989e-11,1.1376716338599451e-11,4.26542638563596e-11,6.667975814720215e-12,2.0787203899719704e-11,2.845178486163582e-12,1.5451579182537952e-11,1.1183412962621288e-06,True
theta_power_EEG T4,Control,WNV,Mann-Whitney U,699.0,0.001923348775807493,0.41755549539660536,1.18115486668236e-11,1.9271152389126486e-11,1.8090673638743987e-11,1.696186905161497e-11,6.657855966154499e-12,1.4068748083820589e-11,3.422048856791597e-12,7.866428365802503e-12,0.0038563626208401496,True
alpha_power_EEG T4,Control,WNV,Mann-Whitney U,1046.0,0.4018950422796327,-0.09971251928657092,1.0484219805517314e-11,8.988222105744174e-12,1.6445301358259394e-11,7.024517274993629e-12,5.939891589182479e-12,7.639689739460936e-12,2.9999311815422526e-12,2.992186362847095e-12,0.4786749906554431,False
beta_power_EEG T4,Control,WNV,Mann-Whitney U,1158.0,0.9142859207987191,0.2957554978781643,9.918597525056812e-12,1.493048591151268e-11,1.2301509294062717e-11,2.8522883179361232e-11,6.597778316747827e-12,6.354202163317393e-12,2.4385909352635784e-12,3.2892406043626937e-12,0.9426358718312375,False
gamma_power_EEG T4,Control,WNV,Mann-Whitney U,1068.0,0.48722490109942795,0.6976742325801366,7.828629821062879e-12,4.550076909898668e-11,8.962294901632585e-12,1.179090198395807e-10,4.890407472735761e-12,5.314705540734518e-12,2.8803199197284534e-12,3.994505689053868e-12,0.566771823727906,False
skewness_EEG T4,Control,WNV,Mann-Whitney U,936.0,0.11975507437121609,0.6897528517110101,-0.10289134926517103,0.0010517959410305234,0.12056999445319963,0.2331881774620127,-0.0798054514510167,-0.0223151476360653,0.05474240177880589,0.12208958559283249,0.15821945256329545,False
kurtosis_EEG T4,Control,WNV,Mann-Whitney U,705.0,0.002193642791375468,0.8264474145309425,0.934647713963772,1.6913815834931096,0.7570128898508887,1.3662368108544405,0.8203433223429797,1.2140743883719511,0.353806369596668,0.6837555519372625,0.004290507224307901,True
mean_mpf_EEG T4,Control,WNV,T-test,3.7584768925964736,0.0002682496540775172,-0.8457683596436467,10.114625517290493,7.885839999213266,2.2554850955425305,3.76044124030366,9.801160388550892,6.766275548524586,1.2753199570253564,2.0049890281545633,0.0007381490481167543,True
